t,rms,p2p,crest,kurtosis,equipment
7.75,0.13247350247122394,1.133245,4.917587199308094,3.24726494365105,MOTOR_001
8.0,0.132530236038507,1.272544,5.453842244648149,3.4558871791366297,MOTOR_001
8.25,0.13427969101636422,1.272544,5.382787184935619,3.4042188132034963,MOTOR_001
8.5,0.13429991330091906,1.095347,4.610933728694837,3.1797677055260833,MOTOR_001
8.75,0.13494011958142305,1.14628,5.100714317839953,3.1383847498570954,MOTOR_001
9.0,0.13347483941501578,1.1537419999999998,5.212615374173122,3.186666582149992,MOTOR_001
9.25,0.13362471067219614,1.174681,5.206768991304302,3.199568957648976,MOTOR_001
9.5,0.1356711525761137,1.157226,4.303405616551034,3.231174645623107,MOTOR_001
9.75,0.13347850618652943,1.0988090000000001,4.374097498395001,3.140057847129591,MOTOR_001
10.0,0.13279427590896897,1.0380829999999999,3.983078309509242,3.1370336300607655,MOTOR_001
10.25,0.13099507361714555,1.0561310000000002,4.037785432648286,3.2734924485353245,MOTOR_001
10.5,0.13339648096479392,1.13654,4.567879119396089,3.356934371835739,MOTOR_001
10.75,0.1326216031571134,1.127236,4.594568196239731,3.4033638257936913,MOTOR_001
11.0,0.12996948091258628,1.07746,4.30534150072005,3.293351194924868,MOTOR_001
11.25,0.13220147038251126,1.027974,4.1249011710851535,3.175351263150249,MOTOR_001
11.5,0.13158288136366847,1.046905,4.084125491329927,3.0563655629417834,MOTOR_001
11.75,0.1350673830290547,1.2303760000000001,5.008026252011512,3.2875594472000236,MOTOR_001
12.0,0.13650158543659896,1.3539889999999999,4.96381047760585,3.505078268935851,MOTOR_001
12.25,0.1348847535695278,1.32071,5.023310508186829,3.357373934752782,MOTOR_001
12.5,0.13391012011143053,1.1529280000000002,4.307896964919222,3.312230979475916,MOTOR_001
12.75,0.13088163189232235,1.194286,4.71735407843901,3.440100667549676,MOTOR_001
13.0,0.13170498573933098,1.10967,4.687863534809387,3.358523274119492,MOTOR_001
13.25,0.13126885751715114,1.271024,5.70022482219162,3.3695607711701165,MOTOR_001
13.5,0.13313496846151934,1.2929,5.620326565189925,3.5587266670929396,MOTOR_001
13.75,0.13271853565987685,1.175643,4.754460233174227,3.4695012867267163,MOTOR_001
14.0,0.1298509129389533,1.158016,4.659628386936755,3.3275632928892853,MOTOR_001
14.25,0.1341148635994786,1.165678,4.511483542994501,3.5603139207137002,MOTOR_001
14.5,0.13458014195008072,1.142659,4.29850936116993,3.5442285408851006,MOTOR_001
14.75,0.12960240852994448,1.127637,4.857178251085931,3.3597370848464285,MOTOR_001
15.0,0.13190022340480892,1.412493,6.151164714179093,3.8027905858882063,MOTOR_001
15.25,0.13432547891543092,1.412493,6.040105023640423,3.785858936753394,MOTOR_001
15.5,0.13375999564326724,1.272321,4.877407455514062,3.758212477264574,MOTOR_001
15.75,0.1383951998295032,1.272321,4.714050782135006,3.717787498978904,MOTOR_001
16.0,0.14023677750276584,1.2586430000000002,4.654763262704933,3.589614729688511,MOTOR_001
16.25,0.13987952336742993,1.204374,4.666651589063058,3.670252179066621,MOTOR_001
16.5,0.13516805459035522,1.256551,5.486192741675467,3.855506642736682,MOTOR_001
16.75,0.1352603290992346,1.446728,5.900895002365601,4.023044602886769,MOTOR_001
17.0,0.1380710983213472,1.446728,5.780768094872153,3.7716154780194255,MOTOR_001
17.25,0.13990784874159937,1.409041,5.469028413217906,3.8508153580384863,MOTOR_001
17.5,0.1407747421581669,1.404928,5.406133148124886,3.7778982014631293,MOTOR_001
17.75,0.136850040944792,1.2445490000000001,4.981364969229429,3.5448161201138313,MOTOR_001
18.0,0.13483239010495632,1.1724139999999998,5.055906814893295,3.540806902798997,MOTOR_001
18.25,0.13473962746736992,1.279504,4.876405051358165,3.4804608092068072,MOTOR_001
18.5,0.13656947457741334,1.281901,4.811067788267422,3.5378000588138168,MOTOR_001
18.75,0.13428215424911596,1.137076,4.716248436297106,3.5624087560601563,MOTOR_001
19.0,0.13269909196545204,1.2707579999999998,4.803725410313726,3.5843457902342495,MOTOR_001
19.25,0.13266032511016104,1.2778909999999999,4.827675489775698,3.6143906902612137,MOTOR_001
19.5,0.13192819136701556,1.165587,4.854466610690776,3.688691208709651,MOTOR_001
19.75,0.13634958797068614,1.3164639999999999,5.033649241005082,3.9350358821708005,MOTOR_001
20.0,0.13508587065375166,1.3164639999999999,5.080738619653252,3.825779192838857,MOTOR_001
20.25,0.13338241627574407,1.2400470000000001,5.036293529210567,3.5340821250469348,MOTOR_001
20.5,0.13475161424681617,1.165466,4.431650064734639,3.5945900225087315,MOTOR_001
20.75,0.13705838803969278,1.301114,5.393949327536956,3.755737572861917,MOTOR_001
21.0,0.13399032342133096,1.301114,5.517458135206705,3.8098893920007595,MOTOR_001
21.25,0.12900509726514106,1.106757,4.4320574312259895,3.3538233989351234,MOTOR_001
21.5,0.13058138224204954,0.986456,3.9980890923046317,3.2631545521872707,MOTOR_001
21.75,0.12934156423256216,1.036389,4.426512106893657,3.391756134639632,MOTOR_001
22.0,0.12954125211175396,1.44411,6.126666116484043,3.79282044059235,MOTOR_001
22.25,0.1336386219281476,1.44411,5.938822090119417,3.802726071115476,MOTOR_001
22.5,0.13317373841677552,1.233562,5.094225093215089,3.4470151390010755,MOTOR_001
22.75,0.12883019418825697,1.3425259999999999,5.265978245819011,3.5550594700167655,MOTOR_001
23.0,0.1289083085298122,1.197074,5.151793608760398,3.398154321508256,MOTOR_001
23.25,0.1309100583511424,1.14841,4.447542131852691,3.376325037484206,MOTOR_001
23.5,0.13222837264870718,1.177357,4.622116931165118,3.588664661173443,MOTOR_001
23.75,0.13369307958841634,1.2308080000000001,4.634742515525742,3.734572392474623,MOTOR_001
24.0,0.1332006187503079,1.168704,4.651877790159047,3.7846214695445664,MOTOR_001
24.25,0.1308056790534503,1.119899,4.570673110879965,3.438094404348816,MOTOR_001
24.5,0.13036697403864936,1.135002,4.586054132258619,3.274381560775745,MOTOR_001
24.75,0.13282849573363154,1.437408,6.358959313171974,3.885906984522171,MOTOR_001
25.0,0.13530330925936965,1.437408,6.242648495616959,3.8925296855763953,MOTOR_001
25.25,0.13371672191918396,1.113173,4.99749014490407,3.4509427179824024,MOTOR_001
25.5,0.13259128872903048,1.1972939999999999,5.039908778363725,3.4126035073486904,MOTOR_001
25.75,0.13097226757976285,1.1082100000000001,4.422035372085818,3.3344452866930046,MOTOR_001
26.0,0.1343948848511161,1.199336,4.614550625844371,3.176862560325586,MOTOR_001
26.25,0.1349264242391608,1.138792,4.596371715155869,3.212241177422179,MOTOR_001
26.5,0.13455716755837832,1.0572460000000001,4.00295286957727,3.192497308181842,MOTOR_001
26.75,0.13466910452397063,1.082017,4.035008637807332,3.1317024011343118,MOTOR_001
27.0,0.13513055956573444,1.422459,6.63203795558951,3.5317679664896318,MOTOR_001
27.25,0.13550044946098794,1.407196,6.6139337807733485,3.4385897407300594,MOTOR_001
27.5,0.13505918664307281,1.179346,4.7394924840740655,3.230426123816775,MOTOR_001
27.75,0.1376317874708642,1.179346,4.650902322514033,3.3023751926763154,MOTOR_001
28.0,0.1371462499569652,1.3615849999999998,5.593678283151911,3.3460678965333512,MOTOR_001
28.25,0.13552662652799446,1.3615849999999998,5.660526050514041,3.359441627846196,MOTOR_001
28.5,0.13165370664161863,1.108411,4.404190469003503,3.3530337434510558,MOTOR_001
28.75,0.13029112877253674,1.2574049999999999,5.200484533240319,3.4397108434901646,MOTOR_001
29.0,0.12861312845662423,1.227892,5.268334641502155,3.3165899857493337,MOTOR_001
29.25,0.1289607259826994,1.03784,4.267306932451877,3.1663091734427335,MOTOR_001
